rid,label,conference_name
1,r0,sigmod conference
2,r0,workshop on programming with logic databases informal proceedings ilps
3,r0,in proceedings of the acm sigmod conference on management of data
4,r0,in proceedings of the acm sigmod 93 conference
5,r0,in proceedings of the acm sigmod 93 conference
6,r0,proc international acm sigmod conference on management of data
7,r0,in proceedings of the acm sigmod conference on management of data
8,r0,proc international acm sigmod conference on management of data
9,r0,in sigmod
10,r0,in proceedings of acm sigmod international conference on management of data
11,r0,in proc of the acm sigmod international conference on management of data
12,r0,proceedings of the naclp workshop on deductive databases
13,r0,in acm sigmod conference on management of data
14,r0,in proceedings of the 1993 acm sigmod international conference on management of data
15,r0,in proceedings of acm sigmod 93 international conference on management of data
16,r0,in proc acm sigmod intl conference on management of data
17,r0,in sigmod
18,r0,in proc
19,r0,acm sigmod international conference on management of data
20,r0,in proceedings of acm sigmod international conference on management of data
21,r0,proceedings of the acm sigmod conference on management of data
22,r0,in proceedings of the 1993 acm sigmod international conference on management of data
23,r0,in proceedings of the
24,r0,acm sigmod international conference on management of data
25,r0,proc naclp workshop on deductive databases
26,r0,in proceedings of the acm sigmod conference on management of data
27,r0,in proceedings of acm sigmod internation conference on management of data
28,r1,in fourth international conference on logic programming
29,r1,in proceedings
30,r1,in fourth international conference on logic programming
31,r1,in proc 4th iclp
32,r1,in fourth international conference on logic programming
33,r1,in fourth international conference on logic programming
34,r1,in fourth international conference on logic programming
35,r1,in fourth international conference on logic programming
36,r1,in fourth international conference on logic programming
37,r1,in fourth international conference on logic programming
38,r1,in fourth international conference on logic programming
39,r1,in fourth international conference on logic programming
40,r1,in fourth international conference on logic programming
41,r1,in fourth international conference on logic programming
42,r1,in fourth international conference on logic programming
43,r1,in fourth international conference on logic programming
44,r1,in fourth international conference on logic programming
45,r1,in fourth international conference on logic programming
46,r1,in fourth international conference on logic programming
47,r1,in logic programming proceedings of the fourth international conference
48,r1,in fourth international conference on logic programming
49,r2,proc of 14th international conference on data engineering icde
50,r2,in icde
51,r2,proc of ieee icde
52,r2,in icde
53,r2,in proc 14th international conference on data engineering
54,r2,in proc 14th international conference on data engineering
55,r2,in int l conf on data engineering
56,r2,in int l conf on data engineering
57,r2,in proc 14th international conference on data engineering
58,r2,proc of the international conference on data engineering
59,r2,in proceedings of the international conference on data engineering
60,r2,proc of the international conference on data engineering
61,r2,in proceedings of the international conference on data engineering
62,r2,in icde
63,r2,in proc of icde
64,r2,in proceedings of the ieee international conference on data engineering
65,r2,in intl conf on data engineering
66,r2,proc int l conf data eng
67,r2,proceedings of the fourteenth international conference on data engineering
68,r2,in icde
69,r2,in proceedings of the international conference on data engineering
70,r2,proc 14th icde
71,r2,in icde
72,r2,in icde
73,r2,in icde
74,r2,in proceedings of the international conference on data engineering
75,r2,in icde
76,r2,in proc 14th international conference on data engineering
77,r2,in proceedings of the 14th international conference on data engineering
78,r2,in proc 14th international conference on data engineering
79,r2,in proceedings of the ieee international conference on data engineering
80,r3,in proceedings of the 3rd acm symposium on parallel algorithms and architectures
81,r3,in proc 3rd acm symp on parallel algorithms and architectures
82,r3,in proceedings of the third acm symposium on parallel algorithms and architectures
83,r3,in proc of the 3rd acm symp on parallel algorithms and architectures
84,r3,in proc 3rd acm symp on parallel algorithms and architectures
85,r3,in proceedings of the third acm symposium on parallel algorithms and architectures
86,r3,in proc of 3rd acm symp on parallel algorithms and architectures
87,r3,in proceedings of the acm symposium on parallel algorithms and architectures
88,r3,proc 3rd annual acm symp on parallel algorithms and architectures spaa
89,r4,proc 41st ieee symposium on foundations of computer science
90,r4,proc 41st ieee symposium on foundations of computer science
91,r4,in 41st focs
92,r4,in 41st focs
93,r4,proc 41st ieee symp on foundations of computer science
94,r4,in 41st focs
95,r4,in 41st focs
96,r4,in 41st focs
97,r4,proc 41st ieee symposium on foundations of computer science
98,r4,in proc 41st focs
99,r4,in proc 41st focs
100,r4,in ieee symposium on foundations of computer science
101,r4,in proc 41st focs
102,r4,in proc 41st focs
103,r4,proc 41st ieee symposium on foundations of computer science
104,r4,in 41st focs
105,r4,in proc 41st focs
106,r4,in proc 41st focs
107,r4,proc 41st ieee symposium on foundations of computer science
108,r4,proc 41st ieee symp on foundations of computer science
109,r4,in 41st focs
110,r4,in proc 41st focs
111,r4,in proc 41st focs
112,r4,in proc 41st focs
113,r4,in proc 41st focs
114,r4,in 41st focs
115,r4,in ieee ed proceedings of the 41st annual symposium on foundations of computer science proceedings
116,r4,in proc 41st focs
117,r4,40th focs
118,r4,proc 41st ieee symposium on foundations of computer science
119,r4,in proc 41st focs
120,r4,in proc 41st focs
121,r4,proceedings of the 41st annual symposium on foundations of computer science ieee
122,r4,in proceedings of the 41st ieee symposium on foundations of computer science
123,r4,in proc 41st focs
124,r4,proc 41st ieee symp on foundations of computer science
125,r4,in 41st focs
126,r5,in proceedings of the twelfth national conference on artificial intelligence
127,r5,in proceedings of the twelfth international workshop on distributed artificial intelligence iwdai
128,r5,in proceedings of the twelfth national conference on artificial intelligence
129,r5,in proceedings of the twelfth national conference on artificial intelligence
130,r5,proceedings of the twelfth national conference on artificial intelligence
131,r5,in proceedings of the twelfth international workshop on distributed artificial intelligence iwdai 93
132,r5,in proceedings of the twelfth national conference on artificial intelligence
133,r5,in aaai
134,r5,in proceedings of the twelfth national conference on artificial intelligence
135,r5,in proceedings of the twelfth national conference on artificial intelligence
136,r5,in proceedings of the twelfth national conference on artificial intelligence
137,r5,in proceedings of the twelfth international workshop on distributed artificial intelligence iwdai
138,r5,in proceedings of the twelfth national conference on artificial intelligence
139,r5,in proceedings of the twelfth national conference on artificial intelligence
140,r5,in proc of the 12th int workshop on distributed ai
141,r5,in proceedings of the twelfth national conference on artificial intelligence
142,r5,in proceedings of the twelfth national conference on artificial intelligence
143,r5,in proceedings of the twelfth national conference on artificial intelligence
144,r5,in proceedings of the twelfth national conference on artificial intelligence
145,r5,in national conference on artificial intelligence
146,r5,in proceedings of the twelfth national conference on artificial intelligence
147,r5,in proceedings of the twelfth national conference on artificial intelligence
148,r5,in proceedings of the twelfth national conference on artificial intelligence
149,r5,in proceedings of the twelfth national conference on artificial intelligence
150,r5,in proceedings of the twelfth national conference on artificial intelligence aaai press mit press
151,r5,in proceedings of the twelth national conference on artificial intelligence
152,r5,in proceedings of the twelfth national conference on artificial intelligence
153,r5,in proceedings of the twelfth national conference on artificial intelligence
154,r5,in proceedings of the twelth national conference on artificial intelligence
155,r5,in proceedings of the twelth national conference on artificial intelligence
156,r5,in proceedings of the twelth national conference on artificial intelligence
157,r5,in 12th national conference on artificial intelligence aaai 94
158,r5,in proceedings of the twelfth national conferenceon artificial intelligence
159,r5,in proceedings of the 12th national conference on artificial intelligence aaai
160,r5,in proceedings of the twelfth national conferenceon artificial intelligence
161,r5,in proceedings twelfth national conference on artificial intelligence
162,r5,in 12th national conference on artificial intelligence aaai 94
163,r5,proc 12th nat l conf artificial intelligence
164,r5,in proceedings of the twelfth national conference on artificial intelligence
165,r5,in proceedings of the 12th national conference on artificial intelligence aaai 94
166,r5,in proceedings of the 12th national conference on artificial intelligence aaai 94
167,r5,in proceedings of the twelfth national conference on artificial intelligence
168,r5,in proceedings of the national conference on ai
169,r6,podc
170,r6,in proc of 28th acm symposium on theory of computing
171,r6,in proc acm stoc
172,r6,in proceedings of the 28th acm symposium on theory of computing
173,r6,proceedings of the 28th acm symposium on theory of computing
174,r6,proceedings of the 28th acm symposium on theory of computing
175,r6,proceedings of the 28th acm symposium on theory of computing
176,r6,proceedings of the 28th acm symposium on theory of computing
177,r6,in proc 28th ann acm symp on theory of comp
178,r6,proceedings of the 28th acm symposium on theory of computing
179,r6,in 28th annual acm symposium on theory of computing
180,r6,in 28th annual acm symposium on theory of computing
181,r6,in proc 28th ann acm symp on theory of comp
182,r6,in proc of 28th acm symposium on theory of computing
183,r6,in proc of 28th acm symposium on theory of computing
184,r6,in proc of 28th acm symposium on theory of computing
185,r6,in proc acm stoc
186,r6,proc 28th acm stoc
187,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
188,r7,in proceedings of the acm symposium on parallel algorithms and architectures
189,r7,in acm symp parallel algorithms and architectures
190,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
191,r7,in acm symp parallel algorithms and architectures
192,r7,in acm symp parallel algorithms and architectures
193,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
194,r7,in proceedings of the tenth annual acm symposium on parallel algorithms and architectures spaa
195,r7,proceedings of the tenth annual acm symposium on parallel algorithms and architectures
196,r7,in proceedings of the 10th acm symposium on parallel algorithms and architectures
197,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
198,r7,proceedings of the tenth annual acm symposium on parallel algorithms and architectures
199,r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
200,r7,proc of the 10th acm symp on parallel algorithms and architectures
201,r7,in proceedings of the 10th acm symposium on parallel algorithms and architectures
202,r7,proc tenth acm symp parallel algorithms and architectures spaa 98
