label,conference_name
r0,in proceedings of the 1993 acm sigmod international conference on management of data
r1,in fourth international conference on logic programming
r2,in proceedings of the 14th international conference on data engineering
r3,in proceedings of the third acm symposium on parallel algorithms and architectures
r4,in proceedings of the 41st ieee symposium on foundations of computer science
r5,in proceedings of the twelfth national conference on artificial intelligence
r6,in proceedings of the 28th acm symposium on theory of computing
r7,in proceedings of the 10th annual acm symposium on parallel algorithms and architectures
r8,in advances in neural information processing systems
r9,in proceedings of the 20th annual acm symposium on theory of computing
r10,in proceedings of the 4th international symposium on programming language implementation and logic programming
r11,in proceedings of the european conference on artificial intelligence
r12,in paper presented at the 12th workshop on algebraic development techniques
r13,in 18th international conference on logic programming
r14,in proceedings of the conference on functional programming languages and computer architecture
r15,in international conference on audio and video based biometric person authentication
r16,in proceedings of the 11th annual symposium on logic in computer science
r17,in proceedings of the international conference on computer vision
r18,in proceedings of the conference on computer vision and pattern recognition
r19,in proceedings of the 20th international acm sigir conference on research and development in information retrieval
r20,in proceedings of the seventeenth annual international acm sigir conference on research and development in information retrieval
r21,in proceedings of the eighth national conference on artificial intelligence
r22,in proceedings of the fourth siam conference on parallel processing for scientific computing
r23,in proceedings of the 24th annual international conference on research and development in information retrieval
r24,in proceedings of the international conference on robotics and automation
r25,in proceedings of international conference on computer vision
r26,in symposium on principles of database systems
r27,in european conference on computer vision
r28,in proceedings of the international conference on dependable systems and networks
r29,in proceedings of the 12th national conference on artificial intelligence
r30,in proceedings of the 6th international conference on extending database technology
r31,in proceedings of the 5th international workshop on distributed algorithms
r32,in proceedings of the 21st annual international acm sigir conference on research and development in information retrieval
r33,in proceedings of the 22nd international conference on distributed computing systems
r34,in proceedings of the international conference on parallel processing
r35,in proceedings of the theoretical aspects of computer software
r36,in proceedings sixth international conference on network protocols
r37,in proceedings of acm sigmetrics conference on measurement and modeling of computer systems
r38,in proceedings of the fourth international conference on architectural support for programming languages and operating systems
r39,in proceedings of the fifteenth international conference on machine learning
r40,in proceedings of the 18th annual international symposium on computer architecture
r41,in proceedings of the sixteenth conference on uncertainty in artificial intelligence
r42,in fourth international symposium on theoretical aspects of computer software
r43,in proceedings of the fifteenth national conference on artificial intelligence
r44,in proceedings of the 25th international workshop on graph theoretic concepts in computer science
r45,in proceedings of the 1998 international conference on very large data bases
r46,in 31st ieee symposium on foundations of computer science
r47,in international conference on database theory
r48,in proceedings of the fourteenth international joint conference on artificial intelligence
r49,in proceedings of the international conference on computer aided verification
r50,in proceedings of the 24th international conference on very large data bases
r51,in proceedings of the 2nd symposium on architectural support for programming languages and operating systems
r52,in proceedings of the 2001 acm sigmod international conference on management of data
r53,in proceedings of the 43rd ieee symposium on foundations of computer science
r54,in proceedings of the 30th annual acm symposium on theory of computing
r55,in proceedings of the acm sigmod international conference on management of data
r56,in proceedings of the thirty sixth annual acm symposium on theory of computing
r57,in proceedings of the sixth annual acm workshop on computational learning theory
r58,in proceedings of the 38th annual ieee symposium on foundations of computer science
r59,in ninth symposium on principles of programming languages
r60,in proceedings of the 33rd annual ieee symposium on foundations of computer science
r61,in proceedings of the fourteenth national conference on artificial intelligence
r62,in symposium on discrete algorithms
r63,in proceedings of the fourth annual acm siam symposium on discrete algorithms
r64,in proceedings of the 2nd workshop on computer aided verification
r65,in 24th international symposium on fault tolerant computing
r66,in proceedings ninth annual ieee symposium on logic in computer science
r67,in proceedings of the 12th acm symposium on operating systems principles
r68,in proceedings of the 29th acm sigplan sigact symposium on principles of programming languages
r69,in proceedings of the acm sigmetrics conference on measurement and modeling of computer systems
r70,in proceedings of the 10th annual acm siam symposium on discrete algorithms
r71,in functional programming languages and computer architecture
r72,in third international conference on logic programming
r73,in proceedings of the 11th ieee international symposium on high performance distributed computing
r74,in computer science logic
r75,in proceedings of the 25th acm symposium on theory of computing
r76,in proceedings of the 4th international conference on extending database technology
r77,in proceedings of 1st int conf on audio and video based biometric person authentication
r78,in proceedings of the ninth national conference on artificial intelligence
r79,in proceedings of the 23rd acm symposium on theory of computing
r80,in proceedings of the 15th acm symposium on principles of distributed computing
r81,in conference record of the 15th annual acm symposium on principles of programming languages
r82,in proceedings of the 21st international conference on very large data bases
r83,in proceedings of international workshop on object oriented database systems
r84,in proceedings of the 1997 acm international conference on management of data
r85,in proceedings of sixteenth international joint conference on artificial intelligence
r86,in proceedings of the ieee international conference on robotics and automation
r87,in proceedings of the 16th international conference on very large data bases
r88,in proceedings of the eighth international conference on distributed computing systems
r89,in proceedings of the 8th annual acm symposium on parallel algorithms and architectures
r90,in proceedings of the 24th annual acm symposium on theory of computing
r91,in proceedings of the ninth acm sigact sigmod symposium on principles of database systems
r92,in proceedings of the 28th annual international symposium on microarchitecture
r93,in proceedings of international joint conference on artificial intelligence
r94,in proceedings of acm symposium on principles of database systems
r95,in proceedings sixth siam conference on parallel processing for scientific computing
r96,in proceedings of the sixth siam conference on parallel processing for scientific computing
r97,in proceedings of the sixth international conference on network protocols
r98,in proceedings of the first international conference on audio and video based biometric person authentication
r99,in proceedings of the 31st ieee symposium on foundations of computer science
